"1.64743982","1.203085725","1.281788173","2.16729488","2.199616011","2.241577141","3.136492861","4.166943703","4.178946041","5.72916242","5.107167969","6.29607222","6.29889998","7.8599340","7.17828833","7.129118847","8.103608382","9.15866960","9.71715296","10.23267180","10.84091208","12.33052249","13.48533082","17.11148887","17.25632067","18.27348077","18.32316331","19.24321261","y"
0,2,1,2,2,1,1,2,2,2,2,0,0,1,2,1,1,1,2,1,1,0,1,0,0,1,1,1,-0.009376368
0,1,2,1,0,2,1,2,1,2,2,1,2,1,2,1,0,1,1,0,0,0,0,0,0,1,2,1,-0.721075582
0,2,0,2,2,2,2,0,2,1,2,0,1,0,2,0,1,0,2,1,0,0,1,0,1,1,2,1,0.798214493
1,0,1,1,0,2,1,2,1,2,2,1,2,0,2,1,1,0,1,0,1,0,0,0,0,2,2,2,2.015451917
0,2,0,2,2,1,0,1,0,1,2,1,2,1,2,1,2,1,2,1,1,0,0,0,0,2,2,1,0.242413862
0,0,1,2,1,2,2,2,1,0,2,1,1,0,2,0,2,0,2,0,0,0,1,1,1,2,2,0,-0.934744742
0,1,1,1,1,2,1,1,1,0,2,0,0,0,2,0,2,1,2,0,0,0,0,1,2,1,2,0,-0.129148981
2,2,0,2,1,1,1,0,2,2,0,1,1,0,2,2,1,1,2,0,0,0,0,0,0,1,2,2,1.643688797
1,2,1,2,2,2,0,2,1,2,2,0,0,0,2,1,1,2,2,0,1,0,2,0,1,1,1,1,-0.165274845
0,0,1,1,0,1,1,2,0,1,1,0,1,0,2,2,1,1,2,0,0,2,2,0,2,1,2,1,-1.0590108
2,1,1,1,1,2,1,1,2,0,2,0,0,0,2,0,2,0,2,0,0,0,1,0,1,1,2,0,0.406112624
1,0,1,1,0,1,2,2,0,1,2,0,1,0,1,1,1,1,2,0,0,0,0,0,2,1,2,1,-0.69954851
1,1,1,2,0,1,1,1,1,1,2,1,1,1,2,1,1,0,2,1,0,0,0,1,2,0,1,1,-0.376787248
1,2,0,2,1,1,2,1,2,2,1,1,1,0,2,0,1,1,2,1,0,0,0,0,0,2,2,2,0.744498882
2,1,1,1,0,1,1,2,1,1,2,1,1,2,2,0,2,2,1,0,1,0,0,1,1,1,1,0,-0.183522932
0,1,1,2,0,1,2,1,1,2,1,1,1,2,2,0,1,1,2,1,0,0,0,1,2,1,2,2,0.244415591
0,0,1,1,0,2,0,2,1,2,2,2,2,2,2,0,1,2,1,0,1,0,2,0,1,1,1,1,0.379549774
2,2,1,2,1,2,1,0,2,2,0,0,0,2,2,2,1,1,2,0,0,0,0,0,0,1,2,1,-0.265263557
2,2,1,1,0,2,0,2,0,2,0,2,2,0,1,0,1,1,2,1,0,1,0,0,0,1,1,0,1.868847241
0,2,0,2,1,1,1,0,2,1,1,0,0,0,2,0,1,0,2,0,2,0,1,0,0,1,2,1,0.84353438
0,2,0,2,0,2,1,0,2,0,2,0,0,0,1,1,2,2,2,0,2,0,1,0,0,1,1,0,1.172804605
0,2,1,1,0,2,0,2,0,2,1,1,2,2,2,2,1,2,1,1,1,1,0,0,0,1,1,1,0.238817828
0,0,1,2,0,2,0,2,0,2,0,2,2,1,2,0,1,1,2,0,0,1,0,0,1,1,1,0,1.620273788
0,2,1,2,1,1,0,2,1,2,1,1,1,0,2,1,1,2,2,0,0,0,2,0,0,1,1,1,-0.919597046
0,2,1,2,1,2,1,1,2,2,1,0,0,1,2,1,1,2,2,0,0,0,2,0,0,1,1,2,0.54601293
1,0,0,2,0,2,1,2,2,2,0,1,0,0,2,0,1,1,2,0,1,2,0,0,0,1,1,2,0.609032592
1,0,1,1,0,1,2,2,0,2,2,0,0,0,1,1,1,1,2,1,0,0,0,0,1,1,2,1,0.070446826
1,2,0,2,1,2,2,0,2,1,0,1,1,0,2,0,1,0,2,1,2,0,0,1,0,2,2,2,-0.886801504
2,2,0,2,0,1,1,1,2,0,2,0,0,0,2,2,2,2,2,0,2,2,0,0,0,2,2,1,1.018525223
1,2,0,2,1,1,2,1,2,1,0,1,1,0,2,0,1,0,2,1,1,0,0,0,0,2,2,2,0.864099763
2,2,0,2,1,2,1,1,2,2,0,0,0,0,2,2,1,1,2,0,0,1,0,0,1,2,2,0,2.80562416
1,2,0,2,1,2,2,0,2,1,0,1,1,0,2,0,1,0,2,1,2,0,0,0,0,2,2,2,0.939546857
0,0,0,2,1,2,1,1,1,1,0,0,0,0,2,2,1,1,2,0,1,0,0,0,1,1,0,2,0.335287234
2,2,0,2,1,2,2,1,1,2,1,2,2,1,1,0,2,1,1,0,2,0,0,0,1,2,2,0,2.354540691
0,0,1,2,0,1,1,2,1,2,0,1,0,0,2,0,2,2,2,0,0,0,0,0,1,1,1,1,-0.622644082
1,1,0,2,0,2,1,1,1,0,1,0,1,0,2,0,2,0,2,1,1,0,0,0,0,2,2,0,0.977639592
1,1,0,2,0,2,1,1,1,1,1,1,1,0,2,0,1,1,2,0,1,0,0,0,0,1,2,0,1.407937571
